Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
6/12/2008,12:13:00,4.29,0.4,237,18.2,37,2,18
6/12/2008,12:14:00,4.366,0.406,236.78,18.4,38,3,17
6/12/2008,12:15:00,4.356,0.424,236.63,18.4,38,4,17
6/12/2008,12:16:00,4.364,0.408,237.04,18.4,38,4,17
6/12/2008,12:17:00,4.438,0.742,236.04,19,38,3,17
6/12/2008,12:18:00,4.372,0.48,236.8,18.6,38,4,18
6/12/2008,12:19:00,4.344,0.424,236.71,18.4,38,3,17
6/12/2008,12:20:00,4.328,0.404,236.5,18.4,38,4,17
6/12/2008,12:21:00,3.37,0.388,237.2,15,26,2,17
6/12/2008,12:22:00,1.932,0.38,238.74,8.2,1,0,18
6/12/2008,12:23:00,1.972,0.396,240.63,8.4,1,0,17
6/12/2008,12:24:00,1.966,0.4,242.04,8.2,2,0,18
6/12/2008,12:25:00,2.962,0.396,241.45,13.2,14,1,18
6/12/2008,12:26:00,4.204,0.364,238.52,17.6,38,0,18
6/12/2008,12:27:00,4.446,0.36,237.82,18.6,38,0,17
6/12/2008,12:28:00,2.792,0.372,239.11,12.4,14,0,17
6/12/2008,12:29:00,2.244,0.39,240.62,9.4,1,0,18
6/12/2008,12:30:00,2.242,0.392,241.68,9.4,1,0,18
6/12/2008,12:31:00,3.55,0.376,239.05,15.6,20,0,18
6/12/2008,12:32:00,4.424,0.36,237.93,18.6,38,0,17
6/12/2008,12:33:00,4.416,0.358,236.99,18.6,38,1,17
6/12/2008,12:34:00,2.55,0.382,239.65,11.2,10,0,18
6/12/2008,12:35:00,2.216,0.384,239.6,9.4,1,0,17
6/12/2008,12:36:00,2.222,0.386,239.53,9.4,1,0,18
6/12/2008,12:37:00,3.966,0.354,238.27,17,28,0,17
6/12/2008,12:38:00,2.286,0.15,241.07,10,7,1,18
6/12/2008,12:39:00,2.01,0.118,241.32,8.4,0,0,18
6/12/2008,12:40:00,1.98,0,241.91,8.2,0,0,18
6/12/2008,12:41:00,1.992,0,242.66,8.2,0,0,18
6/12/2008,12:42:00,2.082,0.106,243.39,8.6,1,0,18
6/12/2008,12:43:00,2.062,0.1,243.23,8.4,0,0,18
6/12/2008,12:44:00,2.07,0.104,242.52,8.4,1,1,18
6/12/2008,12:45:00,2.05,0.098,242.45,8.4,0,0,18
6/12/2008,12:46:00,2.074,0.104,242.81,8.4,1,0,18
6/12/2008,12:47:00,2.06,0.098,242.57,8.4,0,0,19
6/12/2008,12:48:00,2.066,0.102,242.35,8.4,1,0,18
6/12/2008,12:49:00,2.088,0.13,242.66,8.6,0,1,18
6/12/2008,12:50:00,2.224,0.224,242.27,9.2,1,2,18
6/12/2008,12:51:00,2.402,0.214,241.67,10,0,1,17
6/12/2008,12:52:00,2.508,0.204,241.58,10.4,0,2,18
6/12/2008,12:53:00,2.594,0.17,242.18,10.6,0,1,18
6/12/2008,12:54:00,2.608,0.174,241.89,10.8,0,2,18
6/12/2008,12:55:00,2.46,0.168,240.9,10.2,0,2,18
6/12/2008,12:56:00,2.218,0.178,241.34,9.2,0,1,18
6/12/2008,12:57:00,2.058,0.182,243.99,8.4,0,2,18
6/12/2008,12:58:00,1.978,0.19,244.36,8,0,2,18
6/12/2008,12:59:00,1.972,0.182,243.92,8,0,1,19
6/12/2008,13:00:00,1.97,0.19,244.34,8,0,2,18
6/12/2008,13:01:00,1.944,0.184,244.22,8,0,1,18
6/12/2008,13:02:00,1.862,0.188,244.03,7.6,0,2,18
6/12/2008,13:03:00,1.926,0.29,243.9,8,0,1,19
6/12/2008,13:04:00,1.958,0.33,244.44,8,0,2,18
6/12/2008,13:05:00,1.948,0.328,244.53,8,0,1,18
6/12/2008,13:06:00,1.938,0.324,244.15,8,0,2,19
6/12/2008,13:07:00,1.858,0.278,243.78,7.8,0,1,18
6/12/2008,13:08:00,1.786,0.282,244.12,7.4,0,2,18
6/12/2008,13:09:00,1.8,0.288,243.93,7.4,0,2,18
6/12/2008,13:10:00,1.766,0.276,242.77,7.4,0,1,18
6/12/2008,13:11:00,1.774,0.282,243.35,7.4,0,1,18
6/12/2008,13:12:00,1.774,0.28,244,7.4,0,2,19
6/12/2008,13:13:00,1.878,0.284,243.88,7.8,0,1,18
6/12/2008,13:14:00,2.516,0.516,242.59,11.2,0,2,18
6/12/2008,13:15:00,4.048,0.796,240.99,17.4,0,1,18
6/12/2008,13:16:00,3.866,0.772,240.59,16.8,0,1,18
6/12/2008,13:17:00,3.824,0.686,240.64,16.6,0,0,17
6/12/2008,13:18:00,4.56,0.69,239.83,19.8,0,20,18
6/12/2008,13:19:00,5.316,0.688,239.41,22.4,0,38,18
6/12/2008,13:20:00,4.716,0.672,239.85,20.4,0,29,17
6/12/2008,13:21:00,6.028,0.664,238.54,25.8,0,48,18
6/12/2008,13:22:00,6.862,0.654,237.75,29.2,0,65,17
6/12/2008,13:23:00,7.338,0.65,236.99,31.2,0,74,17
6/12/2008,13:24:00,7.32,0.646,236.83,31,0,74,17
6/12/2008,13:25:00,6.164,0.182,238.22,25.8,0,74,18
6/12/2008,13:26:00,6.134,0.162,239.05,25.6,0,74,17
6/12/2008,13:27:00,6.15,0.158,239.01,25.6,0,75,18
6/12/2008,13:28:00,6.17,0.16,239.41,25.8,0,75,17
6/12/2008,13:29:00,6.198,0.162,240.1,25.8,0,76,18
6/12/2008,13:30:00,6.178,0.158,239.69,25.8,0,75,18
6/12/2008,13:31:00,6.332,0.188,238.44,26.4,0,75,17
6/12/2008,13:32:00,6.182,0.122,236.41,26,2,74,17
6/12/2008,13:33:00,7.38,0,233.33,31.8,21,71,17
6/12/2008,13:34:00,7.494,0,234.24,32.2,37,66,17
6/12/2008,13:35:00,6.01,0.052,235.77,25.4,37,37,17
6/12/2008,13:36:00,5.972,0.072,236.69,25.2,38,38,17
6/12/2008,13:37:00,5.928,0,236.72,25,37,37,17
6/12/2008,13:38:00,5.892,0,236.2,24.8,37,37,17
6/12/2008,13:39:00,5.858,0,235.76,24.8,37,36,17
6/12/2008,13:40:00,5.864,0.066,235.2,24.8,37,37,17
6/12/2008,13:41:00,5.886,0.062,234.7,25,37,37,17
6/12/2008,13:42:00,5.274,0.066,235.5,22.8,29,38,17
6/12/2008,13:43:00,3.828,0,236.75,16.2,1,38,17
6/12/2008,13:44:00,3.758,0,236.65,15.8,1,37,18
6/12/2008,13:45:00,3.99,0,236.83,16.8,1,37,17
6/12/2008,13:46:00,4.056,0.05,236.88,17,1,37,17
6/12/2008,13:47:00,4.508,0,236.09,19.4,22,22,17
6/12/2008,13:48:00,5.772,0.064,234.87,24.6,37,29,17
6/12/2008,13:49:00,5.058,0,235.31,21.8,20,38,17
6/12/2008,13:50:00,4.06,0,236.64,17,1,38,17
6/12/2008,13:51:00,4.096,0,237.01,17.2,1,37,18
6/12/2008,13:52:00,4.838,0,236.31,20.8,24,26,17
6/12/2008,13:53:00,6.164,0,235.02,26.2,36,35,17
6/12/2008,13:54:00,6.454,0,235.24,27.4,37,41,17
6/12/2008,13:55:00,6.408,0,234.14,27.2,37,41,16
6/12/2008,13:56:00,5.326,0,237.02,22.6,37,24,18
6/12/2008,13:57:00,5.836,0.046,237.04,24.6,37,29,17
6/12/2008,13:58:00,6.226,0,236.4,26.2,37,36,17
6/12/2008,13:59:00,5.67,0.084,236.98,24.2,37,31,17
6/12/2008,14:00:00,3.148,0.108,238.94,13.2,1,19,18
6/12/2008,14:01:00,4.11,0.112,237.84,17.2,0,37,17
6/12/2008,14:02:00,3.696,0.188,237.47,15.8,0,30,17
6/12/2008,14:03:00,3.224,0.222,237.38,13.8,1,19,18
6/12/2008,14:04:00,3.924,0.174,237.22,16.6,0,35,17
6/12/2008,14:05:00,2.96,0.206,238.88,12.4,0,17,18
6/12/2008,14:06:00,3.904,0.166,237.21,16.4,0,34,17
6/12/2008,14:07:00,3.002,0.19,237.82,13,0,26,17
6/12/2008,14:08:00,1.858,0.196,239.72,7.8,0,4,18
6/12/2008,14:09:00,1.838,0.208,240.19,7.6,0,3,17
6/12/2008,14:10:00,1.884,0.206,241.76,7.8,0,4,18
6/12/2008,14:11:00,1.862,0.22,241.95,7.8,0,4,18
6/12/2008,14:12:00,1.886,0.208,242.49,7.8,0,3,18
6/12/2008,14:13:00,1.88,0.23,242.85,7.8,0,4,18
6/12/2008,14:14:00,1.868,0.208,242.68,7.8,0,3,18
6/12/2008,14:15:00,1.862,0.222,243.08,7.6,0,4,19
6/12/2008,14:16:00,1.678,0.164,244.05,7,0,0,18
6/12/2008,14:17:00,1.496,0.122,244.23,6.4,0,0,17
6/12/2008,14:18:00,0.514,0.072,245.14,2.2,0,0,0
6/12/2008,14:19:00,0.534,0.076,244.99,2.4,0,0,0
6/12/2008,14:20:00,0.516,0.07,245.2,2.2,0,0,0
6/12/2008,14:21:00,0.538,0.076,245.43,2.4,0,1,0
6/12/2008,14:22:00,0.516,0.072,245.47,2.2,0,0,0
6/12/2008,14:23:00,0.534,0.074,244.61,2.4,0,0,0
6/12/2008,14:24:00,0.532,0.076,243.63,2.4,0,0,0
6/12/2008,14:25:00,0.624,0.19,242.76,2.8,0,2,0
6/12/2008,14:26:00,0.602,0.078,242.35,2.6,0,2,0
6/12/2008,14:27:00,0.572,0.052,242.06,2.6,0,1,0
6/12/2008,14:28:00,0.552,0.048,242.35,2.4,0,2,0
6/12/2008,14:29:00,0.572,0.054,242.75,2.6,0,2,0
6/12/2008,14:30:00,0.554,0.048,242.86,2.4,0,1,0
6/12/2008,14:31:00,0.604,0.084,242.82,2.6,0,2,0
6/12/2008,14:32:00,1.232,0.254,242.26,5.2,0,1,0
6/12/2008,14:33:00,1.36,0.244,242.66,5.8,0,2,0
6/12/2008,14:34:00,1.392,0.236,243.71,5.8,0,2,0
6/12/2008,14:35:00,1.456,0.242,244.2,6,0,1,0
6/12/2008,14:36:00,1.464,0.236,244.16,6,0,2,0
6/12/2008,14:37:00,1.412,0.24,243.66,5.8,0,2,0
6/12/2008,14:38:00,1.388,0.236,243.77,5.8,0,1,0
6/12/2008,14:39:00,1.408,0.244,243.77,5.8,0,2,0
6/12/2008,14:40:00,1.388,0.236,242.81,5.8,0,1,0
6/12/2008,14:41:00,1.388,0.236,242.82,5.8,0,2,0
6/12/2008,14:42:00,1.396,0.24,242.93,5.8,0,1,0
6/12/2008,14:43:00,1.378,0.234,242.87,5.8,0,2,0
6/12/2008,14:44:00,1.394,0.238,242.59,5.8,0,1,0
6/12/2008,14:45:00,1.37,0.23,242.06,5.8,0,2,0
6/12/2008,14:46:00,1.39,0.236,242.38,5.8,0,1,0
6/12/2008,14:47:00,1.428,0.29,242.16,6,0,1,0
6/12/2008,14:48:00,1.524,0.342,242.86,6.4,0,2,0
6/12/2008,14:49:00,1.554,0.368,242.92,6.6,0,1,0
6/12/2008,14:50:00,1.64,0.476,242.48,7,0,2,0
6/12/2008,14:51:00,1.616,0.47,242.35,7,0,1,0
6/12/2008,14:52:00,1.63,0.474,242.31,7,0,2,0
6/12/2008,14:53:00,1.572,0.4,242.74,6.6,0,0,0
6/12/2008,14:54:00,1.562,0.356,243.08,6.6,0,1,0
6/12/2008,14:55:00,1.542,0.356,243.65,6.4,0,0,0
6/12/2008,14:56:00,1.5,0.368,244.28,6.4,0,0,0
6/12/2008,14:57:00,1.48,0.362,244.4,6.2,0,0,0
6/12/2008,14:58:00,1.494,0.366,243.93,6.4,0,0,0
6/12/2008,14:59:00,1.474,0.358,243.76,6.2,0,0,0
6/12/2008,15:00:00,1.49,0.364,243.52,6.2,0,1,0
6/12/2008,15:01:00,1.434,0.298,243.98,6,0,0,0
6/12/2008,15:02:00,1.424,0.26,243.76,6,0,0,0
6/12/2008,15:03:00,1.074,0.26,244.17,4.6,0,0,0
6/12/2008,15:04:00,0.912,0.272,244.92,4,0,0,0
6/12/2008,15:05:00,0.886,0.256,243.17,3.8,0,0,0
6/12/2008,15:06:00,0.898,0.254,242.27,4,0,1,0
6/12/2008,15:07:00,0.874,0.25,242.45,3.8,0,0,0
6/12/2008,15:08:00,0.896,0.26,243.11,3.8,0,0,0
6/12/2008,15:09:00,0.88,0.258,243.63,3.8,0,0,0
6/12/2008,15:10:00,0.898,0.264,243.63,3.8,0,0,0
6/12/2008,15:11:00,0.894,0.266,244.03,3.8,0,0,0
6/12/2008,15:12:00,1.264,0.258,243.97,5.4,0,1,0
6/12/2008,15:13:00,1.414,0.256,243.48,6,0,0,0
6/12/2008,15:14:00,1.402,0.254,243.7,5.8,0,0,0
6/12/2008,15:15:00,1.546,0.314,243.93,6.4,0,2,0
6/12/2008,15:16:00,1.586,0.276,244.22,6.6,0,3,0
6/12/2008,15:17:00,1.536,0.202,244.87,6.4,0,4,0
6/12/2008,15:18:00,1.528,0.182,244.73,6.2,0,4,0
6/12/2008,15:19:00,1.534,0.204,245.31,6.4,0,3,0
6/12/2008,15:20:00,1.52,0.18,244.63,6.2,0,4,0
6/12/2008,15:21:00,1.522,0.194,243.97,6.2,0,3,0
6/12/2008,15:22:00,1.52,0.18,244.53,6.2,0,4,0
6/12/2008,15:23:00,1.396,0.142,244.46,5.8,0,2,0
6/12/2008,15:24:00,1.306,0.116,244.17,5.4,0,0,0
6/12/2008,15:25:00,1.322,0.12,243.79,5.4,0,0,0
6/12/2008,15:26:00,1.298,0.112,242.92,5.4,0,0,0
6/12/2008,15:27:00,1.312,0.112,242.31,5.4,0,0,0
6/12/2008,15:28:00,1.284,0.102,241.1,5.4,0,0,0
6/12/2008,15:29:00,1.314,0.108,241.63,5.4,0,1,0
6/12/2008,15:30:00,1.298,0.106,242.25,5.4,0,0,0
6/12/2008,15:31:00,1.326,0.114,241.99,5.6,0,0,0
6/12/2008,15:32:00,1.37,0.21,242.24,5.8,0,0,0
6/12/2008,15:33:00,1.38,0.214,241.65,5.8,0,0,0
6/12/2008,15:34:00,1.37,0.208,241.34,5.8,0,0,0
6/12/2008,15:35:00,1.368,0.206,240.9,5.8,0,1,0
6/12/2008,15:36:00,1.374,0.208,240.93,5.8,0,0,0
6/12/2008,15:37:00,1.358,0.208,241.55,5.6,0,0,0
6/12/2008,15:38:00,1.384,0.218,242.53,5.8,0,0,0
6/12/2008,15:39:00,1.372,0.22,243.76,5.8,0,0,0
6/12/2008,15:40:00,1.444,0.28,242.68,6,0,1,0
6/12/2008,15:41:00,1.472,0.35,242.65,6.2,0,0,0
6/12/2008,15:42:00,1.482,0.352,242.14,6.2,0,0,0
6/12/2008,15:43:00,1.458,0.342,241.53,6.2,0,0,0
6/12/2008,15:44:00,1.476,0.348,241.69,6.2,0,0,0
6/12/2008,15:45:00,1.396,0.246,242.33,5.8,0,0,0
6/12/2008,15:46:00,1.406,0.244,241.57,6,0,1,0
6/12/2008,15:47:00,1.394,0.242,242.29,5.8,0,0,0
6/12/2008,15:48:00,1.412,0.248,242.45,6,0,0,0
6/12/2008,15:49:00,1.388,0.238,241.79,5.8,0,0,0
6/12/2008,15:50:00,1.408,0.246,242.17,6,0,0,0
6/12/2008,15:51:00,1.386,0.236,241.78,5.8,0,0,0
6/12/2008,15:52:00,1.402,0.24,241.58,5.8,0,0,0
6/12/2008,15:53:00,1.384,0.236,241.64,5.8,0,0,0
6/12/2008,15:54:00,1.4,0.238,241.45,5.8,0,1,0
6/12/2008,15:55:00,1.382,0.234,241.48,5.8,0,0,0
6/12/2008,15:56:00,1.404,0.242,242.08,5.8,0,0,0
6/12/2008,15:57:00,1.39,0.24,242.52,5.8,0,0,0
6/12/2008,15:58:00,1.408,0.246,242.7,5.8,0,0,0
6/12/2008,15:59:00,1.396,0.248,243.52,5.8,0,0,0
6/12/2008,16:00:00,1.412,0.25,243.05,6,0,1,0
6/12/2008,16:01:00,1.394,0.248,243.34,5.8,0,0,0
6/12/2008,16:02:00,1.406,0.248,242.57,5.8,0,0,0
6/12/2008,16:03:00,1.39,0.244,242.8,5.8,0,0,0
6/12/2008,16:04:00,1.412,0.252,243.37,6,0,0,0
6/12/2008,16:05:00,1.406,0.252,243.42,5.8,0,0,0
6/12/2008,16:06:00,1.34,0.162,242.87,5.6,0,1,0
6/12/2008,16:07:00,1.318,0.114,242.86,5.4,0,0,0
6/12/2008,16:08:00,1.294,0.106,242.33,5.4,0,0,0
6/12/2008,16:09:00,1.316,0.112,242.61,5.4,0,0,0
6/12/2008,16:10:00,1.294,0.106,242.13,5.4,0,0,0
6/12/2008,16:11:00,1.312,0.108,241.96,5.4,0,1,0
6/12/2008,16:12:00,1.29,0.102,241.66,5.4,0,0,0
6/12/2008,16:13:00,1.31,0.108,241.75,5.4,0,0,0
6/12/2008,16:14:00,1.288,0.104,241.45,5.4,0,0,0
6/12/2008,16:15:00,1.308,0.108,241.62,5.4,0,0,0
6/12/2008,16:16:00,1.378,0.206,240.93,5.8,0,0,0
6/12/2008,16:17:00,1.374,0.206,240.63,5.8,0,1,0
6/12/2008,16:18:00,1.358,0.2,240.65,5.8,0,0,0
6/12/2008,16:19:00,1.38,0.208,241.27,5.8,0,0,0
6/12/2008,16:20:00,1.368,0.21,242.42,5.8,0,0,0
6/12/2008,16:21:00,1.382,0.214,241.99,5.8,0,0,0
6/12/2008,16:22:00,1.362,0.208,242.06,5.6,0,0,0
6/12/2008,16:23:00,1.408,0.232,242.18,6,0,1,0
6/12/2008,16:24:00,1.442,0.33,241.57,6.2,0,1,0
6/12/2008,16:25:00,1.46,0.336,241.52,6.2,0,2,0
6/12/2008,16:26:00,1.136,0.338,242.11,5,0,2,0
6/12/2008,16:27:00,0.956,0.35,242.9,4.2,0,1,0
6/12/2008,16:28:00,0.89,0.27,243.1,3.8,0,2,0
6/12/2008,16:29:00,0.9,0.25,243.43,3.8,0,2,0
6/12/2008,16:30:00,0.908,0.266,243.06,4,0,1,0
6/12/2008,16:31:00,0.99,0.278,242.59,4.4,0,2,0
6/12/2008,16:32:00,0.988,0.178,242.11,4.2,0,1,0
6/12/2008,16:33:00,0.786,0.188,242.8,3.4,0,2,0
6/12/2008,16:34:00,0.684,0.184,242.79,3,0,2,0
6/12/2008,16:35:00,0.692,0.19,242.86,3,0,1,0
6/12/2008,16:36:00,0.98,0.218,242.49,4.4,0,2,0
6/12/2008,16:37:00,1.122,0.228,242.83,4.8,0,1,0
6/12/2008,16:38:00,1.128,0.23,241.98,4.8,0,2,0
6/12/2008,16:39:00,1.104,0.222,241.53,4.8,0,1,0
6/12/2008,16:40:00,1.118,0.226,241.26,4.8,0,2,0
6/12/2008,16:41:00,1.1,0.224,241.87,4.6,0,1,0
6/12/2008,16:42:00,1.118,0.23,241.91,4.8,0,2,0
6/12/2008,16:43:00,1.104,0.224,241.94,4.8,0,1,0
6/12/2008,16:44:00,1.13,0.23,242.2,4.8,0,2,0
6/12/2008,16:45:00,1.106,0.226,242.09,4.8,0,1,0
6/12/2008,16:46:00,1.12,0.232,241.81,4.8,0,2,0
6/12/2008,16:47:00,1.214,0.226,241.87,5.2,0,1,0
6/12/2008,16:48:00,1.282,0.228,241.76,5.4,0,2,0
6/12/2008,16:49:00,1.218,0.226,242.24,5.2,0,1,0
6/12/2008,16:50:00,1.32,0.162,242.37,5.6,0,1,0
6/12/2008,16:51:00,1.268,0.082,242.03,5.2,0,0,0
6/12/2008,16:52:00,1.266,0.088,242.12,5.4,0,0,0
6/12/2008,16:53:00,2.016,0.082,240.97,8.4,0,0,0
6/12/2008,16:54:00,1.9,0,240.07,8,0,1,0
6/12/2008,16:55:00,1.838,0.104,239.91,7.8,0,0,0
6/12/2008,16:56:00,1.852,0.1,239.62,7.8,0,0,0
6/12/2008,16:57:00,1.846,0.104,239.6,7.8,0,0,0
6/12/2008,16:58:00,1.85,0.1,239.09,7.8,0,0,0
6/12/2008,16:59:00,1.938,0.052,238.58,8.2,0,0,0
6/12/2008,17:00:00,1.934,0,238.12,8.2,0,1,0
6/12/2008,17:01:00,2.146,0,237.48,9,0,0,0
6/12/2008,17:02:00,2.442,0,236.84,10.4,0,0,0
6/12/2008,17:03:00,2.672,0,236.62,11.2,0,0,0
6/12/2008,17:04:00,2.624,0,236.9,11,0,0,0
6/12/2008,17:05:00,2.606,0,237.12,11,0,0,0
6/12/2008,17:06:00,2.768,0,236.72,11.6,0,0,0
6/12/2008,17:07:00,1.96,0,237.62,8.4,0,0,0
6/12/2008,17:08:00,1.72,0.046,238.03,7.2,0,1,0
6/12/2008,17:09:00,1.732,0.046,237.49,7.4,0,0,0
6/12/2008,17:10:00,1.896,0,237.26,8,0,0,0
6/12/2008,17:11:00,1.92,0.046,236.8,8.2,0,0,0
6/12/2008,17:12:00,1.992,0.046,237.06,8.4,0,0,0
6/12/2008,17:13:00,2.66,0.05,236.22,11.2,0,1,0
6/12/2008,17:14:00,2.492,0,236.82,10.6,0,0,0
6/12/2008,17:15:00,2.118,0,237.51,9,0,0,0
6/12/2008,17:16:00,2.298,0.046,237.37,9.6,0,0,0
6/12/2008,17:17:00,2.262,0,237.66,9.6,0,0,0
6/12/2008,17:18:00,2.22,0.046,237.11,9.4,0,0,0
6/12/2008,17:19:00,2.766,0.102,236.2,11.8,0,1,0
6/12/2008,17:20:00,2.37,0.098,237.04,10,0,0,0
6/12/2008,17:21:00,2.5,0.276,236.69,10.6,0,0,0
6/12/2008,17:22:00,2.5,0.262,236.59,10.6,0,0,0
6/12/2008,17:23:00,2.76,0.252,236.85,11.6,0,0,0
6/12/2008,17:24:00,2.788,0.252,237.23,11.8,0,0,0
6/12/2008,17:25:00,2.72,0.238,237.33,11.6,0,0,0
6/12/2008,17:26:00,2.2,0.21,237.27,9.2,0,0,0
6/12/2008,17:27:00,2.152,0.206,236.88,9,0,0,0
6/12/2008,17:28:00,2.014,0.21,237.01,8.6,0,0,0
6/12/2008,17:29:00,2.008,0.21,236.57,8.6,0,0,0
6/12/2008,17:30:00,2.022,0.218,237.76,8.6,0,0,0
6/12/2008,17:31:00,2.028,0.22,238.45,8.6,0,0,0
6/12/2008,17:32:00,2.024,0.22,238.2,8.6,0,0,0
6/12/2008,17:33:00,2.022,0.218,237.63,8.6,0,0,0
6/12/2008,17:34:00,2.022,0.218,237.59,8.6,0,0,0
6/12/2008,17:35:00,1.998,0.22,237.55,8.4,0,0,0
6/12/2008,17:36:00,1.98,0.222,237.59,8.4,0,0,0
6/12/2008,17:37:00,1.762,0.11,238.13,7.4,0,0,0
6/12/2008,17:38:00,1.332,0.07,238.22,5.8,0,0,0
6/12/2008,17:39:00,1.362,0.09,238.11,5.8,0,0,0
6/12/2008,17:40:00,1.37,0.088,238.27,5.8,0,0,0
6/12/2008,17:41:00,1.38,0.082,237.75,5.8,0,0,0
6/12/2008,17:42:00,1.382,0.082,237.88,5.8,0,0,0
6/12/2008,17:43:00,1.3,0,238.63,5.6,0,0,0
6/12/2008,17:44:00,1.3,0,238.91,5.6,0,0,0
6/12/2008,17:45:00,1.374,0,238.27,5.8,0,0,0
6/12/2008,17:46:00,1.366,0.054,237.77,5.8,0,0,0
6/12/2008,17:47:00,1.364,0.052,237.52,5.8,0,0,0
6/12/2008,17:48:00,1.366,0.054,237.86,5.8,0,0,0
6/12/2008,17:49:00,1.36,0.05,237.25,5.8,0,0,0
6/12/2008,17:50:00,1.362,0.052,237.93,5.8,0,0,0
6/12/2008,17:51:00,1.364,0.054,238.62,5.8,0,0,0
6/12/2008,17:52:00,1.366,0.054,238.81,5.8,0,0,0
6/12/2008,17:53:00,1.366,0.054,238.7,5.8,0,0,0
6/12/2008,17:54:00,1.364,0.054,238.42,5.8,0,0,0
6/12/2008,17:55:00,1.598,0.056,239.12,7,0,0,0
6/12/2008,17:56:00,2.302,0.054,238.7,9.6,0,0,0
6/12/2008,17:57:00,2.34,0.052,237.3,9.8,0,0,0
6/12/2008,17:58:00,2.3,0.052,237.28,9.8,0,0,0
6/12/2008,17:59:00,2.008,0,237.46,8.4,0,0,0
6/12/2008,18:00:00,2.102,0.046,236.95,8.8,0,0,0
6/12/2008,18:01:00,2.074,0,237.19,8.8,0,0,0
6/12/2008,18:02:00,2.122,0,237.82,9,0,0,0
6/12/2008,18:03:00,2.132,0,237.65,9,0,0,0
6/12/2008,18:04:00,2.122,0,236.96,9,0,0,0
6/12/2008,18:05:00,2.134,0,237.01,9,0,0,0
6/12/2008,18:06:00,2.144,0,236.98,9,0,0,0
6/12/2008,18:07:00,2.152,0,237.33,9.2,0,0,0
6/12/2008,18:08:00,2.438,0,236.47,10.4,0,0,0
6/12/2008,18:09:00,2.514,0.09,236.04,10.6,0,0,0
6/12/2008,18:10:00,2.606,0.088,236.62,11,0,0,0
6/12/2008,18:11:00,2.69,0.088,236.81,11.4,0,0,0
6/12/2008,18:12:00,2.628,0.092,237.16,11.2,0,0,0
6/12/2008,18:13:00,2.52,0.094,236.95,10.6,0,0,0
6/12/2008,18:14:00,2.536,0.094,237.04,10.8,0,0,0
6/12/2008,18:15:00,2.578,0.094,236.89,11,0,0,0
6/12/2008,18:16:00,2.578,0.096,236.99,11,0,0,0
6/12/2008,18:17:00,2.57,0.098,237.32,10.8,0,0,0
6/12/2008,18:18:00,2.566,0.098,237.59,10.8,0,0,0
6/12/2008,18:19:00,2.564,0.096,237.28,10.8,0,0,0
6/12/2008,18:20:00,2.566,0.096,237.51,10.8,0,0,0
6/12/2008,18:21:00,2.572,0.1,237.93,10.8,0,0,0
6/12/2008,18:22:00,2.568,0.096,237.56,10.8,0,0,0
